Artist,Title,"('PeakPos', 'min')","('Duration', 'max')","('Date', 'min')"
Chris Brown,Liquor,60.0,17.0,2015-09-12
Future,Stick Talk,91.0,2.0,2016-01-09
Justin Bieber Featuring Halsey,The Feeling,31.0,7.0,2015-12-05
Chris Brown,Zero,80.0,2.0,2016-01-09
Fetty Wap Featuring Monty,Jugg,86.0,6.0,2015-10-17
Chris Brown,Little More (Royalty),91.0,1.0,2016-01-09
Jordan Smith,Mary Did You Know,24.0,1.0,2016-01-02
Selena Gomez Featuring A$AP Rocky,Good For You,5.0,26.0,2015-07-11
OMI,Cheerleader,1.0,35.0,2015-05-09
One Direction,Drag Me Down,3.0,20.0,2015-08-22
Jordan Smith,Climb Every Mountain,72.0,1.0,2016-01-02
Drake,Back To Back,21.0,20.0,2015-08-22
Dan + Shay,Nothin' Like You,51.0,19.0,2015-08-29
Luke Bryan,Strip It Down,30.0,20.0,2015-08-08
Jordan Smith & Adam Levine,God Only Knows,90.0,1.0,2016-01-02
Jordan Smith,Somebody To Love,21.0,2.0,2015-12-26
X Ambassadors,Renegades,17.0,35.0,2015-05-02
Justin Bieber,Mark My Words,42.0,4.0,2015-12-05
Parmalee,Already Callin' You Mine,91.0,3.0,2015-11-21
G-Eazy,Random,94.0,1.0,2015-12-26
Justin Bieber Featuring Big Sean,No Pressure,49.0,4.0,2015-12-05
G-Eazy Featuring Chris Brown & Tory Lanez,Drifting,98.0,1.0,2015-12-26
Chris Young,I'm Comin' Over,33.0,23.0,2015-05-30
Calvin Harris & Disciples,How Deep Is Your Love,27.0,20.0,2015-08-08
Justin Bieber Featuring Travi$ Scott,No Sense,54.0,3.0,2015-12-05
Barrett Baber,I'd Just Love To Lay You Down,92.0,1.0,2015-12-19
PSY Featuring CL,Daddy,97.0,1.0,2015-12-19
Madi Davis,Girls Just Want To Have Fun,98.0,1.0,2015-12-19
Cole Swindell,Let Me See Ya Girl,59.0,18.0,2015-08-22
Adele,Remedy,87.0,1.0,2015-12-12
Justin Bieber,Life Is Worth Living,67.0,2.0,2015-12-05
Hailee Steinfeld,Love Myself,30.0,16.0,2015-08-29
Future,Rich $ex,100.0,1.0,2015-12-12
Jordan Smith,Great Is Thy Faithfulness,30.0,1.0,2015-12-05
Old Dominion,Break Up With Him,44.0,20.0,2015-07-25
Justin Bieber,Children,74.0,1.0,2015-12-05
Justin Bieber,Been You,81.0,1.0,2015-12-05
One Direction,If I Could Fly,83.0,1.0,2015-12-05
One Direction,Olivia,87.0,1.0,2015-12-05
Justin Bieber Featuring Nas,We Are,88.0,1.0,2015-12-05
Justin Bieber,Get Used To It,90.0,1.0,2015-12-05
One Direction,A.M.,94.0,1.0,2015-12-05
One Direction,Temporary Fix,96.0,1.0,2015-12-05
Justin Bieber,Trust,98.0,1.0,2015-12-05
WALK THE MOON,Shut Up And Dance,4.0,53.0,2015-01-03
Ed Sheeran,Thinking Out Loud,2.0,58.0,2015-01-03
Rachel Platten,Fight Song,6.0,31.0,2015-05-02
Sam Smith,Writing's On The Wall,71.0,2.0,2015-10-17
Florida Georgia Line,Anything Goes,55.0,18.0,2015-08-08
Demi Lovato,Cool For The Summer,11.0,20.0,2015-07-18
K Camp,Comfortable,54.0,15.0,2015-08-22
Kenny Chesney,Save It For A Rainy Day,54.0,17.0,2015-08-08
Drake & Future,Diamonds Dancing,53.0,8.0,2015-10-10
Chris Stapleton,Traveller,87.0,1.0,2015-11-28
Jordan Smith,Halo,88.0,1.0,2015-11-28
Jess Glynne,Hold My Hand,86.0,6.0,2015-10-03
Nick Jonas,Levels,44.0,12.0,2015-09-12
Michael Jackson,Thriller,4.0,17.0,2015-11-21
Jason Derulo,Want To Want Me,5.0,35.0,2015-03-28
Meek Mill Featuring Chris Brown & Nicki Minaj,All Eyes On You,21.0,20.0,2015-07-11
Drake & Future,Scholarships,69.0,7.0,2015-10-10
Drake & Future,Digital Dash,62.0,7.0,2015-10-10
Charlie Puth Featuring Meghan Trainor,Marvin Gaye,21.0,20.0,2015-07-04
Kane Brown,Used To Love You Sober,82.0,1.0,2015-11-14
Chase Rice,Gonna Wanna Tonight,67.0,12.0,2015-08-29
Lil Wayne & Charlie Puth,Nothing But Trouble (Instagram Models),86.0,7.0,2015-10-03
Major Lazer Featuring Ellie Goulding & Tarrus Riley,Powerful,83.0,6.0,2015-10-10
The Game Featuring Drake,100,82.0,10.0,2015-08-22
Rich Homie Quan,Flex (Ooh Ooh Ooh),26.0,27.0,2015-05-09
Fifth Harmony Featuring Kid Ink,Worth It,12.0,36.0,2015-02-07
Brett Eldredge,Lose My Mind,48.0,20.0,2015-06-27
Rae Sremmurd,This Could Be Us,49.0,20.0,2015-06-27
Keith Urban,"John Cougar, John Deere, John 3:16",40.0,20.0,2015-06-27
Drake & Future,Live From The Gutter,74.0,5.0,2015-10-10
Drake & Future,I'm The Plug,76.0,5.0,2015-10-10
Pentatonix,Can't Sleep Love,99.0,1.0,2015-11-07
The Weeknd,Earned It (Fifty Shades Of Grey),3.0,43.0,2015-01-10
Taylor Swift Featuring Kendrick Lamar,Bad Blood,1.0,25.0,2015-01-10
Nicky Jam & Enrique Iglesias,El Perdon (Forgiveness),56.0,30.0,2015-04-11
Sam Hunt,House Party,26.0,20.0,2015-06-20
Maddie & Tae,Fly,61.0,14.0,2015-08-01
Drake & Future,Change Locations,82.0,3.0,2015-10-17
The 1975,Love Me,100.0,1.0,2015-10-31
Fall Out Boy,Uma Thurman,22.0,27.0,2015-01-31
Jeremih Featuring J. Cole,Planez,44.0,20.0,2015-06-13
Chris Janson,Buy Me A Boat,41.0,20.0,2015-06-13
Drake & Future,Plastic Bag,78.0,2.0,2015-10-17
Future,Jersey,87.0,2.0,2015-10-17
Andrew McMahon In The Wilderness,Cecilia And The Satellite,96.0,3.0,2015-09-12
A Great Big World Featuring FUTURISTIC,Hold Each Other,99.0,2.0,2015-10-10
One Direction,Infinity,54.0,2.0,2015-05-16
Little Mix,Black Magic,67.0,8.0,2015-08-29
Drake,30 For 30 Freestyle,88.0,2.0,2015-10-10
Luke Bryan,Kick The Dust Up,26.0,20.0,2015-06-06
Jidenna Featuring Roman GianArthur,Classic Man,22.0,21.0,2015-05-23
Andy Grammer,"Honey, I'm Good.",9.0,31.0,2015-02-28
Thomas Rhett,Crash And Burn,36.0,20.0,2015-04-25
Naughty Boy Featuring Beyonce & Arrow Benjamin,Runnin' (Lose It All),90.0,1.0,2015-10-10
Flo Rida Featuring Robin Thicke & Verdine White,"I Don't Like It, I Love It",43.0,14.0,2015-07-11
Kendrick Lamar,Alright,81.0,14.0,2015-04-04
Meek Mill Featuring Drake,R.I.C.O.,40.0,13.0,2015-07-18
Omarion Featuring Chris Brown & Jhene Aiko,Post To Be,13.0,37.0,2015-01-24
The Weeknd,Tell Your Friends,54.0,3.0,2015-09-19
Dustin Lynch,Hell Of A Night,55.0,16.0,2015-06-20
5 Seconds Of Summer,She's Kinda Hot,22.0,9.0,2015-08-08
Trey Songz,About You,83.0,3.0,2015-09-12
Jake Owen,Real Life,62.0,13.0,2015-07-11
Tori Kelly,Should've Been Us,51.0,10.0,2015-08-01
Kygo Featuring Conrad,Firestone,92.0,1.0,2015-10-03
Zac Brown Band,Loving You Easy,40.0,17.0,2015-06-13
The Weeknd Featuring Lana Del Rey,Prisoner,47.0,3.0,2015-09-19
The Weeknd Featuring Ed Sheeran,Dark Times,91.0,3.0,2015-09-19
Zedd Featuring Jon Bellion,Beautiful Now,64.0,14.0,2015-06-06
"Dove Cameron, Cameron Boyce, Booboo Stewart & Sofia Carson",Rotten To The Core,38.0,6.0,2015-08-22
Wiz Khalifa Featuring Rae Sremmurd,Burn Slow,83.0,1.0,2015-09-26
Pia Mia Featuring Chris Brown & Tyga,Do It Again,71.0,11.0,2015-07-18
Big Sean Featuring Kanye West & John Legend,One Man Can Change The World,82.0,10.0,2015-03-14
Jason Derulo,Cheyenne,66.0,7.0,2015-08-15
Disclosure Featuring Sam Smith,Omen,64.0,6.0,2015-08-22
The Weeknd,Shameless,79.0,2.0,2015-09-19
Nicki Minaj,The Night Is Still Young,31.0,17.0,2015-05-23
"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",Hey Mama,8.0,24.0,2015-04-11
Imagine Dragons,Roots,77.0,1.0,2015-09-19
The Weeknd Featuring Labrinth,Losers,85.0,1.0,2015-09-19
Frankie Ballard,Young & Crazy,55.0,15.0,2015-06-13
5 Seconds Of Summer,Jet Black Heart,95.0,1.0,2015-09-19
Rihanna,B**** Better Have My Money,15.0,23.0,2015-04-11
Ellie Goulding,Love Me Like You Do,3.0,34.0,2015-01-24
T-Wayne,Nasty Freestyle,9.0,20.0,2015-05-02
N.W.A,Straight Outta Compton,38.0,2.0,2015-09-05
Eazy-E,Boyz-N-The Hood,50.0,2.0,2015-09-05
Kid Ink Featuring DeJ Loaf,Be Real,43.0,20.0,2015-05-02
Blake Shelton,Sangria,38.0,20.0,2015-05-02
Michael Ray,Kiss You In The Morning,55.0,14.0,2015-06-13
Brantley Gilbert,One Hell Of An Amen,44.0,18.0,2015-05-16
Lana Del Rey,High By The Beach,51.0,3.0,2015-08-29
Kip Moore,I'm To Blame,100.0,1.0,2015-09-12
Tove Lo,Talking Body,12.0,30.0,2015-02-14
Eric Church,Like A Wrecking Ball,51.0,22.0,2015-04-11
J. Cole,Wet Dreamz,61.0,20.0,2015-01-03
Jason Aldean,Tonight Looks Good On You,46.0,18.0,2015-05-16
Pitbull Featuring Chris Brown,Fun,40.0,15.0,2015-05-30
"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",How Many Times,68.0,15.0,2015-05-30
5 Seconds Of Summer,Fly Away,100.0,1.0,2015-09-05
DJ Snake & AlunaGeorge,You Know You Like It,13.0,21.0,2015-04-11
Dove Cameron,If Only,94.0,2.0,2015-08-22
Future,Commas,55.0,20.0,2015-04-18
Mac Miller,100 Grandkids,100.0,1.0,2015-08-29
Sam Hunt,Take Your Time,20.0,32.0,2015-01-17
Trey Songz,Slow Motion,26.0,26.0,2015-02-07
Drake,Charged Up,78.0,1.0,2015-08-22
Canaan Smith,Love You Like That,46.0,20.0,2015-04-11
Maroon 5,This Summer's Gonna Hurt...,23.0,13.0,2015-05-30
Brad Paisley,Crushin' It,66.0,15.0,2015-05-16
Wale Featuring Usher,The Matrimony,70.0,19.0,2015-04-18
Sage The Gemini Featuring Nick Jonas,Good Thing,75.0,8.0,2015-07-04
Little Big Town,Girl Crush,18.0,24.0,2015-02-21
Sia,Elastic Heart,17.0,30.0,2015-01-24
Taylor Swift,Shake It Off,1.0,50.0,2015-01-03
Janet Featuring J. Cole,No Sleeep,63.0,2.0,2015-07-11
Bea Miller,Fire N Gold,78.0,1.0,2015-08-15
Kelsea Ballerini,Love Me Like You Mean It,45.0,18.0,2015-04-18
Echosmith,Bright,40.0,20.0,2015-03-28
Eminem Featuring Gwen Stefani,Kings Never Die,80.0,2.0,2015-08-01
Janelle Monae & Jidenna,Yoga,79.0,6.0,2015-07-11
Prince Royce Featuring Jennifer Lopez & Pitbull,Back It Up,92.0,2.0,2015-06-27
Sam Smith,Like I Can,99.0,2.0,2015-07-11
Easton Corbin,Baby Be My Love Song,56.0,16.0,2015-04-25
Florida Georgia Line,Sippin' On Fire,40.0,20.0,2015-04-04
Future,Blow A Bag,95.0,1.0,2015-08-08
twenty one pilots,Tear In My Heart,82.0,8.0,2015-04-25
Ciara,Dance Like We're Making Love,100.0,1.0,2015-08-08
Natalie La Rose Featuring Jeremih,Somebody,10.0,26.0,2015-02-07
Taylor Swift,Style,6.0,32.0,2015-01-10
Billy Currington,Don't It,44.0,20.0,2015-03-21
Carrie Underwood,Little Toy Guns,47.0,18.0,2015-03-28
Carly Rae Jepsen,I Really Like You,39.0,20.0,2015-03-21
Meek Mill,Lord Knows,88.0,2.0,2015-07-25
Meek Mill Featuring Future,Jump Out The Face,91.0,2.0,2015-07-25
Tech N9Ne Featuring 2 Chainz & B.o.B,Hood Go Crazy,90.0,7.0,2015-06-20
Flo Rida Featuring Sage The Gemini & Lookas,G.D.F.R.,8.0,35.0,2015-01-03
Steven Tyler,Love Is Your Name,75.0,1.0,2015-07-25
Meek Mill Featuring Nicki Minaj,Bad For You,78.0,2.0,2015-07-18
Tim McGraw With Catherine Dunn,Diamond Rings And Old Barstools,55.0,17.0,2015-03-28
A Thousand Horses,Smoke,47.0,20.0,2015-03-14
NEEDTOBREATHE Featuring Gavin DeGraw,Brother,98.0,2.0,2015-07-18
George Ezra,Budapest,32.0,23.0,2015-02-14
Taylor Swift,Blank Space,1.0,36.0,2015-01-03
Miguel,Coffee,78.0,3.0,2015-05-23
Drake,Know Yourself,53.0,20.0,2015-03-07
Jessie J,Flashlight,61.0,7.0,2015-06-06
Meghan Trainor,Dear Future Husband,14.0,24.0,2015-01-10
Ariana Grande,One Last Time,13.0,20.0,2015-02-28
Drake,Energy,26.0,20.0,2015-02-28
Kenny Chesney With Grace Potter,Wild Child,56.0,15.0,2015-03-28
"Shaggy Featuring Mohombi, Faydee, Costi",I Need Your Love,66.0,8.0,2015-05-23
Madonna Featuring Nicki Minaj,B**** I'm Madonna,84.0,2.0,2015-07-04
Britney Spears & Iggy Azalea,Pretty Girls,29.0,8.0,2015-05-23
Young Thug,Check,100.0,1.0,2015-07-11
Sam Smith,Lay Me Down,8.0,20.0,2015-02-21
Hilary Duff,Sparks,93.0,1.0,2015-07-04
Kevin Gates Featuring August Alsina,I Don't Get Tired (#IDGT),90.0,9.0,2015-05-09
Chedda Da Connect,Flicka Da Wrist,94.0,4.0,2015-05-16
Bandit Gang Marco Featuring Dro,Nasty,41.0,9.0,2015-05-09
Pitbull & Ne-Yo,Time Of Our Lives,9.0,27.0,2015-01-03
Nick Jonas,Chains,13.0,20.0,2015-02-14
Travi$ Scott Featuring Future & 2 Chainz,3500,82.0,1.0,2015-06-27
"Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",All Day,15.0,15.0,2015-03-21
Zedd Featuring Selena Gomez,I Want You To Know,17.0,16.0,2015-03-14
A$AP Rocky,L$D,62.0,3.0,2015-06-13
Eminem,Phenomenal,47.0,1.0,2015-06-20
How I Became The Bomb,"Ulay, Oh",58.0,1.0,2015-06-20
Nicki Minaj Featuring Drake & Lil Wayne,Truffle Butter,14.0,20.0,2015-02-07
Rihanna & Kanye West & Paul McCartney,FourFiveSeconds,4.0,20.0,2015-02-07
A$AP Rocky Featuring ScHoolboy Q,Electric Body,80.0,2.0,2015-06-13
Jamie Foxx Featuring Chris Brown,You Changed Me,93.0,2.0,2015-06-13
Meghan Trainor,All About That Bass,1.0,47.0,2015-01-03
Zac Brown Band,Homegrown,35.0,20.0,2015-01-31
Kelly Clarkson,Heartbeat Song,21.0,20.0,2015-01-31
Ciara,I Bet,43.0,14.0,2015-02-14
Kendrick Lamar,King Kunta,58.0,11.0,2015-04-04
Keith Urban Featuring Eric Church,Raise 'Em Up,56.0,14.0,2015-03-14
Sawyer Fredericks,Please,37.0,1.0,2015-06-06
Nicki Minaj Featuring Beyonce,Feeling Myself,39.0,20.0,2015-01-03
Hozier,Take Me To Church,2.0,41.0,2015-01-03
Chris Brown & Tyga,Ayo,21.0,20.0,2015-01-24
Sawyer Fredericks,Old Man,63.0,1.0,2015-06-06
Meghan Linsey,Change My Mind,92.0,1.0,2015-06-06
Eric Paslay,She Don't Love You,77.0,12.0,2015-03-21
Luke Bryan,Games,92.0,5.0,2015-03-28
Rae Sremmurd Featuring Nicki Minaj & Young Thug,Throw Sum Mo,30.0,20.0,2015-01-17
Sam Smith,I'm Not The Only One,5.0,37.0,2015-01-03
Tyler Farr,A Guy Walks Into A Bar,51.0,20.0,2015-01-17
Sheppard,Geronimo,53.0,21.0,2015-01-17
Dierks Bentley,Say You Do,52.0,18.0,2015-01-31
Nate Ruess,Nothing Without Love,77.0,4.0,2015-05-09
Nick Fradiani,Beautiful Life,93.0,1.0,2015-05-30
Sawyer Fredericks,A Thousand Years,94.0,1.0,2015-05-30
Meghan Trainor,Lips Are Movin,4.0,29.0,2015-01-03
Cole Swindell,Ain't Worth The Whiskey,43.0,19.0,2015-01-17
Tori Kelly,Nobody Love,60.0,11.0,2015-03-14
Rihanna,American Oxygen,78.0,4.0,2015-05-02
Sawyer Fredericks,Shine On,99.0,1.0,2015-05-23
Drake,10 Bands,58.0,13.0,2015-02-28
Fall Out Boy,Centuries,10.0,34.0,2015-01-03
Sawyer Fredericks,Simple Man,71.0,1.0,2015-05-16
Drake,Legend,52.0,12.0,2015-02-28
Usher Featuring Juicy J,I Don't Mind,11.0,23.0,2015-01-03
Vance Joy,Riptide,30.0,44.0,2015-01-03
Lee Brice,Drinking Class,53.0,22.0,2015-01-03
Calvin Harris Featuring Ellie Goulding,Outside,29.0,20.0,2015-01-17
Miranda Lambert,Little Red Wagon,55.0,11.0,2015-02-28
Koryn Hawthorne,Make It Rain,84.0,1.0,2015-05-09
"Kid Ink, Tyga, Wale, YG & Rich Homie Quan",Ride Out,70.0,3.0,2015-04-25
Iggy Azalea Featuring Jennifer Hudson,Trouble,67.0,5.0,2015-04-11
Sawyer Fredericks,Iris,100.0,1.0,2015-05-09
"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",Only,12.0,25.0,2015-01-03
Nick Jonas,Jealous,7.0,32.0,2015-01-03
Sam Smith,Stay With Me,2.0,54.0,2015-01-03
Chris Young,Lonely Eyes,50.0,18.0,2015-01-03
LunchMoney Lewis,Bills,79.0,6.0,2015-03-28
Lillywood & Robin Schulz,Prayer In C,23.0,20.0,2015-01-03
Sawyer Fredericks,Imagine,98.0,1.0,2015-05-02
Kimberly Nichole,House Of The Rising Sun,100.0,1.0,2015-05-02
Big Sean Featuring E-40,I Don't F**k With You,11.0,29.0,2015-01-03
Beyonce,7/11,13.0,20.0,2015-01-03
Darius Rucker,Homegrown Honey,53.0,20.0,2015-01-03
Wiz Khalifa & Iggy Azalea,Go Hard Or Go Home,86.0,2.0,2015-03-07
Fall Out Boy,Immortals,72.0,8.0,2015-02-07
Ludacris Featuring Miguel,Good Lovin,91.0,2.0,2015-04-18
Who Is Fancy,Goodbye,98.0,1.0,2015-04-25
Maroon 5,Animals,3.0,33.0,2015-01-03
One Direction,Night Changes,31.0,20.0,2015-01-03
Ne-Yo Featuring Juicy J,She Knows,19.0,20.0,2015-01-03
Imagine Dragons,I Bet My Life,28.0,22.0,2015-01-03
O.T. Genasis,CoCo,20.0,20.0,2015-01-03
J. Cole,Apparently,58.0,16.0,2015-01-03
Luke Bryan,I See You,41.0,19.0,2015-01-03
Breaking Benjamin,Failure,80.0,1.0,2015-04-11
Blake Shelton Featuring Ashley Monroe,Lonely Tonight,47.0,17.0,2015-01-03
Action Bronson Featuring Chance The Rapper,Baby Blue,91.0,1.0,2015-04-11
Jason Aldean,Just Gettin' Started,54.0,18.0,2015-01-03
Thomas Rhett,Make Me Wanna,43.0,20.0,2015-01-03
Sia,Chandelier,8.0,46.0,2015-01-03
Rae Sremmurd,No Type,16.0,26.0,2015-01-03
Kendrick Lamar,The Blacker The Berry,66.0,1.0,2015-04-04
Brett Eldredge,Mean To Me,53.0,20.0,2015-01-03
twenty one pilots,Fairly Local,84.0,1.0,2015-04-04
Selena Gomez,The Heart Wants What It Wants,6.0,20.0,2015-01-03
Empire Cast Featuring Jussie Smollett & Yazz,You're So Beautiful,47.0,4.0,2015-03-14
Kendrick Lamar Featuring George Clinton & Thundercat,Wesley's Theory,91.0,1.0,2015-04-04
OneRepublic,I Lived,32.0,17.0,2015-01-03
"Kendrick Lamar Featuring Bilal, Anna Wise & Thundercat",These Walls,94.0,1.0,2015-04-04
"Kendrick Lamar Featuring Bilal, Anna Wise & Snoop Dogg",Institutionalized,99.0,1.0,2015-04-04
James Newton Howard Featuring Jennifer Lawrence,The Hanging Tree,12.0,17.0,2015-01-03
Ella Henderson,Ghost,21.0,20.0,2015-01-03
Jessie J,Masterpiece,65.0,3.0,2015-01-03
Empire Cast Featuring Estelle & Jussie Smollett,Conqueror,42.0,2.0,2015-03-21
Jake Owen,What We Ain't Got,89.0,11.0,2015-01-17
Ariana Grande & The Weeknd,Love Me Harder,7.0,22.0,2015-01-03
Florida Georgia Line,Sun Daze,44.0,20.0,2015-01-03
Randy Houser,Like A Cowboy,62.0,14.0,2015-01-03
Eric Church,Talladega,43.0,20.0,2015-01-03
Cashmere Cat Featuring Ariana Grande,Adore,93.0,1.0,2015-03-21
Meek Mill,Monster,96.0,1.0,2015-03-21
Fifth Harmony,Sledgehammer,40.0,15.0,2015-01-03
B.o.B Featuring Trey Songz,Not For Long,80.0,9.0,2015-01-24
Common & John Legend,Glory,49.0,3.0,2015-01-31
"Jessie J, Ariana Grande & Nicki Minaj",Bang Bang,3.0,31.0,2015-01-03
Kid Rock,First Kiss,66.0,1.0,2015-03-14
The Weeknd,Often,59.0,20.0,2015-01-03
Big Sean Featuring Kanye West,All Your Fault,80.0,1.0,2015-03-14
Taylor Swift,You Are In Love,83.0,1.0,2015-03-14
Prince Royce Featuring Snoop Dogg,Stuck On A Feeling,43.0,10.0,2015-01-10
Kanye West Featuring Paul McCartney,Only One,35.0,8.0,2015-01-17
Big Sean,Paradise,99.0,1.0,2015-03-14
Drake,No Tellin',81.0,2.0,2015-03-07
I LOVE MAKONNEN Featuring Drake,Tuesday,12.0,22.0,2015-01-03
Tove Lo,Habits (Stay High),3.0,39.0,2015-01-03
Taylor Swift,Wonderland,51.0,1.0,2015-03-07
Drake,6 God,83.0,1.0,2015-03-07
Drake Featuring Lil Wayne,Used To,84.0,2.0,2015-02-28
Chase Bryant,Take It On Back,82.0,8.0,2015-01-17
Florence + The Machine,What Kind Of Man,88.0,2.0,2015-02-28
Imagine Dragons,Shots,75.0,3.0,2015-02-14
Wale Featuring Jeremih,The Body,87.0,6.0,2015-01-31
Drake,Now & Forever,95.0,1.0,2015-03-07
Drake,6 Man,97.0,1.0,2015-03-07
Alesso Featuring Tove Lo,Heroes (We Could Be),31.0,20.0,2015-01-03
Carrie Underwood,Something In The Water,24.0,20.0,2015-01-03
Tim McGraw,Shotgun Rider,38.0,20.0,2015-01-03
The Weeknd,Where You Belong,95.0,1.0,2015-02-28
Annie Lennox,I Put A Spell On You,97.0,1.0,2015-02-28
Empire Cast Featuring Jussie Smollett,Keep Your Money,99.0,1.0,2015-02-28
"Missy ""Misdemeanor"" Elliott",Work It,2.0,26.0,2015-02-21
"Missy ""Misdemeanor"" Elliott",Get Ur Freak On,7.0,25.0,2015-02-21
Kid Ink Featuring Usher & Tinashe,Body Language,72.0,18.0,2015-01-03
Iggy Azalea Featuring M0,Beg For It,27.0,16.0,2015-01-03
Fergie,L.A.LOVE (la la),27.0,18.0,2015-01-03
Shawn Mendes,A Little Too Much,94.0,1.0,2015-02-21
RaeLynn,God Made Girls,61.0,16.0,2015-01-03
Kid Ink Featuring Chris Brown,Hotel,96.0,1.0,2015-02-21
Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,***Flawless,41.0,20.0,2015-01-03
A-Trak + Milo & Otis Featuring Rich Kidz,Out The Speakers,98.0,1.0,2015-02-21
G-Eazy Featuring Remo,I Mean It,98.0,4.0,2015-01-17
MAGIC!,Rude,1.0,41.0,2015-01-03
Hoodie Allen Featuring Ed Sheeran,All About It,71.0,4.0,2015-01-24
Kenny Chesney,Til It's Gone,60.0,14.0,2015-01-03
David Guetta Featuring Sam Martin,Dangerous,56.0,15.0,2015-01-03
Becky G,Can't Stop Dancin',88.0,3.0,2015-01-10
Brad Paisley,Perfect Storm,52.0,17.0,2015-01-03
One Direction,Steal My Girl,13.0,18.0,2015-01-03
Jeremih Featuring YG,Don't Tell 'Em,6.0,31.0,2015-01-03
Iggy Azalea Featuring Rita Ora,Black Widow,3.0,30.0,2015-01-03
Calvin Harris Featuring John Newman,Blame,19.0,20.0,2015-01-03
Bobby Shmurda,Hot Boy,6.0,25.0,2015-01-03
Trey Songz Featuring Nicki Minaj,"Touchin, Lovin",43.0,20.0,2015-01-03
"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",Hold You Down,39.0,20.0,2015-01-03
August Alsina,No Love,69.0,18.0,2015-01-03
Milky Chance,Stolen Dance,39.0,25.0,2015-01-03
Clean Bandit Featuring Jess Glynne,Rather Be,10.0,31.0,2015-01-03
Keith Urban,Somewhere In My Car,49.0,20.0,2015-01-03
Parmalee,Close Your Eyes,69.0,16.0,2015-01-03
Sophia Grace,Best Friends,87.0,1.0,2015-01-24
Blake Shelton,Neon Light,43.0,20.0,2015-01-10
Jason Derulo,Trumpets,14.0,32.0,2015-01-03
Nicki Minaj,Anaconda,2.0,22.0,2015-01-03
Rich Gang Featuring Young Thug & Rich Homie Quan,Lifestyle,16.0,25.0,2015-01-03
Colbie Caillat,Try,55.0,20.0,2015-01-03
Shawn Mendes,Something Big,80.0,3.0,2015-01-10
Nico & Vinz,In Your Arms,72.0,12.0,2015-01-03
Nicki Minaj Featuring Skylar Grey,Bed Of Lies,62.0,6.0,2015-01-03
Lorde,Yellow Flicker Beat,34.0,9.0,2015-01-03
Ariana Grande,Santa Tell Me,42.0,5.0,2015-01-03
Jessie J Featuring 2 Chainz,Burnin' Up,86.0,6.0,2015-01-10
Charli XCX,Break The Rules,91.0,3.0,2015-01-03
French Montana Featuring Jeremih,Bad B*tch,95.0,1.0,2015-01-10
"Juicy J, Wiz Khalifa & Ty Dolla $ign Featuring Kill The Noise & Madsonik",Shell Shocked,84.0,3.0,2015-01-10
Meghan Trainor,Title,100.0,1.0,2015-01-10
Matt McAndrew,Wasted Love,14.0,1.0,2015-01-03
Craig Wayne Boyd,My Baby's Got A Smile On Her Face,34.0,1.0,2015-01-03
Chris Jamison,Velvet,53.0,1.0,2015-01-03
T.I. Featuring Young Thug,About The Money,42.0,20.0,2015-01-03
Chris Jamison & Adam Levine,Lost Without U,63.0,1.0,2015-01-03
Damien,Soldier,74.0,1.0,2015-01-03
Matt McAndrew & Adam Levine,Lost Stars,83.0,1.0,2015-01-03
Maddie & Tae,Girl In A Country Song,54.0,20.0,2015-01-03
Nicki Minaj Featuring Ariana Grande,Get On Your Knees,88.0,1.0,2015-01-03
Pitbull Featuring John Ryan,Fireball,23.0,20.0,2015-01-03
